Power Rankings:
ATL   8.24986608229
DAL   7.93363963808
KC    5.94362582903
PIT   5.89323388144
NE    5.32643602658
OAK   4.6034241388
GB    4.43390080878
DEN   4.33231992859
WAS   4.0201244912
BAL   3.7645757862
TB    2.57782645097
MIN   2.33075231388
DET   2.21442893712
NYG   1.96573004294
TEN   1.70757876275
CIN   1.14269902224
IND   0.518818088122
SEA   0.390742079327
NO    0.308380324457
PHI   -0.087948000893
SD    -0.315932589935
BUF   -0.591187112831
HOU   -1.26725200173
ARI   -2.01603800943
CAR   -2.43019815663
CHI   -3.63641014855
MIA   -5.14826044548
JAX   -5.92726074609
LA    -9.09560005781
NYJ   -10.1269892071
CLE   -12.3764875173
SF    -13.9507284158

Best Pick'em Picks:
HOU   JAX   26.9% 
DAL   TB    22.7% 
BAL   PHI   20.9% 
GB    @CHI  18.9% 
OAK   @SD   5.8%  
NO    @ARI  2.4%  
NYJ   MIA   0.8%  
SD    OAK   0.4%  
CHI   GB    0.3%  
IND   @MIN  0.2%  
PHI   @BAL  0.2%  
JAX   @HOU  0.2%  
TEN   @KC   0.2%  
TB    @DAL  0.1%  
CAR   @WAS  0.1%  
LA    @SEA  0.0%  
CLE   @BUF  0.0%  
SF    @ATL  0.0%  

Weekly Spreads:
MIN   IND   4.0   
ATL   SF    24.4  
CIN   PIT   -2.6  
NYJ   MIA   -2.8  
DEN   NE    1.2   
BAL   PHI   6.0   
NYG   DET   1.9   
DAL   TB    7.5   
SEA   LA    11.7  
CHI   GB    -5.9  
BUF   CLE   14.0  
HOU   JAX   6.8   
WAS   CAR   8.6   
KC    TEN   6.4   
ARI   NO    -0.2  
SD    OAK   -2.7  
